year,date,state,state_key,region_group,population_000,population_people,population_million,population_share_percent,rank_by_population,population_change_from_previous_year_000,population_change_from_previous_year_percent,population_change_2022_to_2025_000,population_change_2022_to_2025_percent,source_name,source_url,catalogue_url,source_unit,data_status,notes
2023,2023-01-01,Perlis,perlis,Peninsular Malaysia,293.1,293100,0.2931,0.88,14,3.3,1.14,8.0,2.76,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2023,2023-01-01,Pulau Pinang,pulau pinang,Peninsular Malaysia,1772.6,1772600,1.7726,5.31,9,31.7,1.82,62.4,3.58,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2023,2023-01-01,Sabah,sabah,East Malaysia,3596.7,3596700,3.5967,10.77,3,181.8,5.32,344.7,10.09,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2023,2023-01-01,Sarawak,sarawak,East Malaysia,2502.3,2502300,2.5023,7.49,5,28.8,1.16,56.3,2.28,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2023,2023-01-01,Selangor,selangor,Peninsular Malaysia,7209.7,7209700,7.2097,21.58,1,159.4,2.26,356.5,5.06,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2023,2023-01-01,Terengganu,terengganu,Peninsular Malaysia,1210.0,1210000,1.21,3.62,12,23.4,1.97,60.3,5.08,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2023,2023-01-01,W.P. Kuala Lumpur,w.p. kuala lumpur,Federal Territory,2005.7,2005700,2.0057,6.0,7,44.5,2.27,112.9,5.76,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2023,2023-01-01,W.P. Labuan,w.p. labuan,Federal Territory,99.0,99000,0.099,0.3,16,2.1,2.17,4.0,4.13,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2023,2023-01-01,W.P. Putrajaya,w.p. putrajaya,Federal Territory,118.8,118800,0.1188,0.36,15,1.8,1.54,3.8,3.25,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Johor,johor,Peninsular Malaysia,4184.4,4184400,4.1844,12.29,2,77.2,1.88,177.6,4.41,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
